2025-04-16 12:28:30 [INFO] : ACCESS: /encrypt | User: test_user | Token: YC91QOYUNE | IP: 127.0.0.1 | Status: success | Details: Token generated and data stored at https://s3.filebase.com/pii-authenticator-test/YC91QOYUNE.txt
2025-04-16 12:29:22 [INFO] : ACCESS: /validate_token | User: N/A | Token: YC91QOYUNE | IP: 127.0.0.1 | Status: invalid | Details: Token validation failed
2025-04-16 12:29:40 [INFO] : ACCESS: /encrypt | User: test_user_1744786778 | Token: RZHUZQNM0Q | IP: 127.0.0.1 | Status: success | Details: Token generated and data stored at https://s3.filebase.com/pii-authenticator-test/RZHUZQNM0Q.txt
2025-04-16 12:29:40 [INFO] : ACCESS: /validate_token | User: N/A | Token: RZHUZQNM0Q | IP: 127.0.0.1 | Status: invalid | Details: Token validation failed
2025-04-16 12:29:41 [INFO] : ACCESS: /validate_token | User: N/A | Token: INVALID123 | IP: 127.0.0.1 | Status: invalid | Details: Token validation failed
2025-04-16 12:29:41 [INFO] : ACCESS: /encrypt | User: N/A | Token: N/A | IP: 127.0.0.1 | Status: failure | Details: Missing fields
2025-04-16 12:29:41 [INFO] : ACCESS: /encrypt | User: test_user | Token: N/A | IP: 127.0.0.1 | Status: failure | Details: Missing fields
2025-04-16 12:29:41 [INFO] : ACCESS: /validate_token | User: N/A | Token: N/A | IP: 127.0.0.1 | Status: failure | Details: Token required
2025-04-16 12:36:19 [INFO] : ACCESS: /encrypt | User: test_user_1744787177685 | Token: Q6MI5WMMRD | IP: 127.0.0.1 | Status: success | Details: Token generated and data stored at https://s3.filebase.com/pii-authenticator-test/Q6MI5WMMRD.txt
2025-04-16 12:36:20 [INFO] : ACCESS: /encrypt | User: test_user_1744787177685 | Token: XKD2X7DIL4 | IP: 127.0.0.1 | Status: success | Details: Token generated and data stored at https://s3.filebase.com/pii-authenticator-test/XKD2X7DIL4.txt
2025-04-16 12:36:21 [INFO] : ACCESS: /encrypt | User: test_user_1744787179875 | Token: 4Z6YTCIAG3 | IP: 127.0.0.1 | Status: success | Details: Token generated and data stored at https://s3.filebase.com/pii-authenticator-test/4Z6YTCIAG3.txt
